* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.510
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 20 May, 2023 1:18:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Symphonium Meteor R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1075.000000 101.777 115.3224
1090.000000 101.846 116.4000
1106.000000 101.916 117.5455
1120.000000 101.980 118.4869
1138.000000 102.056 119.7178
1150.000000 102.109 120.4956
1172.000000 102.198 121.9432
1180.000000 102.236 122.4827
1206.000000 102.328 124.1189
1220.000000 102.381 125.0150
1241.000000 102.455 126.3835
1250.000000 102.485 126.9215
1265.000000 102.532 127.8607
1280.000000 102.583 128.8165
1315.000000 102.685 131.0612
1320.000000 102.698 131.3874
1340.000000 102.752 132.6705
1360.000000 102.804 133.9629
1380.000000 102.858 135.2691
1400.000000 102.909 136.5974
1430.000000 102.991 138.5939
1450.000000 103.040 139.9197
1475.000000 103.109 141.6517
1500.000000 103.175 143.3436
1525.000000 103.244 145.0737
1550.000000 103.320 146.7812
1575.000000 103.394 148.5145
1600.000000 103.471 150.2529
1625.000000 103.552 151.9645
1650.000000 103.633 153.7088
1675.000000 103.719 155.4185
1700.000000 103.811 157.1500
1725.000000 103.903 158.8730
1750.000000 104.007 160.5819
1775.000000 104.113 162.2434
1800.000000 104.221 163.9050
1825.000000 104.334 165.5248
1850.000000 104.450 167.1432
1875.000000 104.574 168.7299
1900.000000 104.697 170.2401
1925.000000 104.827 171.7307
1950.000000 104.965 173.1874
1975.000000 105.095 174.5831
2000.000000 105.238 175.9446
2030.000000 105.408 177.4828
2060.000000 105.575 178.9358
2090.000000 105.749 -179.6603
2120.000000 105.924 -178.4046
2140.000000 106.039 -177.5977
2180.000000 106.272 -176.1211
2200.000000 106.384 -175.4850
2240.000000 106.605 -174.3078
2270.000000 106.763 -173.5648
2300.000000 106.913 -172.9480
2330.000000 107.048 -172.4204
2360.000000 107.165 -172.0248
2400.000000 107.304 -171.5827
2430.000000 107.387 -171.3076
2470.000000 107.470 -171.0799
2500.000000 107.516 -170.9601
2540.000000 107.546 -170.8565
2580.000000 107.540 -170.7725
2620.000000 107.498 -170.7113
2650.000000 107.448 -170.6209
2690.000000 107.350 -170.4553
2720.000000 107.261 -170.2970
2760.000000 107.119 -169.9725
2800.000000 106.965 -169.5601
2850.000000 106.741 -168.8550
2900.000000 106.508 -168.0072
2950.000000 106.260 -166.9998
3000.000000 105.997 -165.8683
3040.000000 105.779 -164.8566
3070.000000 105.613 -164.0446
3110.000000 105.380 -162.8754
3150.000000 105.141 -161.5285
3200.000000 104.846 -159.6247
3250.000000 104.558 -157.4762
3300.000000 104.305 -155.0696
3350.000000 104.097 -152.5272
3400.000000 103.935 -149.9473
3450.000000 103.824 -147.3976
3500.000000 103.755 -144.9457
3550.000000 103.724 -142.6529
3600.000000 103.736 -140.5892
3650.000000 103.787 -138.7392
3700.000000 103.867 -137.2065
3750.000000 103.994 -136.0665
3820.000000 104.199 -135.2120
3870.000000 104.371 -135.2215
3950.000000 104.646 -136.5212
4000.000000 104.789 -138.1544
4060.000000 104.898 -141.0430
4120.000000 104.889 -144.7682
4180.000000 104.736 -149.0824
4250.000000 104.341 -154.3575
4310.000000 103.839 -158.6594
4370.000000 103.218 -162.4586
4440.000000 102.414 -166.1048
4500.000000 101.700 -168.4872
4550.000000 101.116 -170.0098
4620.000000 100.353 -171.5246
4680.000000 99.758 -172.3547
4750.000000 99.188 -172.9481
4820.000000 98.742 -173.2242
4870.000000 98.516 -173.2868
4940.000000 98.327 -173.2174
5000.000000 98.277 -173.0946
5080.000000 98.370 -172.8526
5150.000000 98.628 -172.5490
5220.000000 99.005 -172.4414
5300.000000 99.596 -172.5077
5380.000000 100.320 -172.9334
5450.000000 101.023 -173.8537
5520.000000 101.762 -175.4391
5600.000000 102.575 -178.2167
5700.000000 103.382 176.9355
5800.000000 103.822 171.5475
5900.000000 103.845 166.8734
6000.000000 103.534 164.0316
6080.000000 103.146 163.6251
6150.000000 102.766 164.5121
6220.000000 102.405 166.4186
6300.000000 102.021 169.6509
6400.000000 101.617 174.9040
6500.000000 101.312 -178.8544
6600.000000 101.105 -171.9014
6700.000000 100.990 -164.5151
6800.000000 100.960 -156.7383
6900.000000 101.013 -148.7587
7000.000000 101.133 -140.6641
7100.000000 101.332 -132.6457
7200.000000 101.606 -124.5176
7300.000000 101.961 -116.5490
7400.000000 102.416 -108.9551
7500.000000 102.965 -101.9015
7620.000000 103.735 -94.7866
7750.000000 104.618 -89.3413
7880.000000 105.375 -86.9789
8000.000000 105.637 -87.2606
8120.000000 105.364 -87.8384
8250.000000 104.553 -86.8503
8380.000000 103.473 -83.2475
8500.000000 102.408 -77.8095
8620.000000 101.377 -70.7908
8750.000000 100.349 -61.8195
8850.000000 99.643 -54.2824
9000.000000 98.732 -42.4576
9120.000000 98.104 -32.6847
9250.000000 97.553 -22.0143
9380.000000 97.114 -11.4759
9500.000000 96.788 -2.1065
9620.000000 96.572 7.0899
9750.000000 96.398 16.4502
9880.000000 96.328 25.4045
10000.000000 96.324 33.0892
10150.000000 96.390 41.8291
10300.000000 96.528 49.5817
10440.000000 96.721 55.9905
10600.000000 96.906 62.1543
10750.000000 97.008 66.9857
10900.000000 96.764 71.3235
11060.000000 96.412 81.8806
11200.000000 96.852 88.9218
11380.000000 97.014 96.4623
11500.000000 97.022 102.3013
11720.000000 97.042 114.5497
11800.000000 97.083 119.5697
12060.000000 97.364 137.0356
12200.000000 97.660 147.0843
12410.000000 98.340 162.0182
12500.000000 98.702 168.3505
12650.000000 99.377 178.3983
12800.000000 100.141 -171.8773
13150.000000 102.341 -152.1807
13200.000000 102.700 -149.7416
13400.000000 104.329 -140.8611
13600.000000 106.442 -135.8396
13800.000000 108.887 -139.1783
14000.000000 110.535 -155.7383
14300.000000 108.200 176.1356
14500.000000 105.424 170.2884
14750.000000 102.390 170.8739
15000.000000 100.018 174.5368
15250.000000 98.290 178.1302
15500.000000 97.180 -179.2306
15750.000000 96.721 -178.1403
16000.000000 96.923 -178.5586
16250.000000 97.765 179.4694
16500.000000 99.195 175.6357
16750.000000 101.092 168.5793
17000.000000 103.311 156.1567
17250.000000 105.376 135.8011
17500.000000 106.401 107.6970
17750.000000 106.035 77.7045
18000.000000 104.791 48.9269
18250.000000 103.177 19.8101
18500.000000 101.028 -12.6903
18750.000000 98.015 -48.0090
19000.000000 94.158 -84.6292
19250.000000 89.789 -122.2284
19500.000000 85.300 -165.1017
19750.000000 80.726 138.1992
