* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 1.000. Timing signal peak level -9.6 dBFS, measurement signal peak level -5.7 dBFS
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS using an acoustic timing reference
* Dated: 22-Dec-2022 4:19:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.0876 ms (-30 mm, -1.18 in) using estimated IR delay relative to Acoustic reference played from USB-C to 3.5mm Headphone Jack Adapter R with no timing offset Clock adjustment: 0.9 ppm
* Measurement: 80 ohm R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
3550.000000 93.650 -82.1941
3600.000000 93.568 -81.7090
3650.000000 93.485 -81.1097
3700.000000 93.407 -80.5064
3750.000000 93.340 -79.7872
3820.000000 93.281 -78.7540
3870.000000 93.260 -78.0092
3950.000000 93.232 -76.8681
4000.000000 93.218 -76.0871
4060.000000 93.192 -75.2175
4120.000000 93.125 -74.3681
4180.000000 93.049 -73.3713
4250.000000 92.959 -72.3810
4310.000000 92.876 -71.4755
4370.000000 92.804 -70.7134
4440.000000 92.726 -69.7765
4500.000000 92.681 -68.9983
4550.000000 92.630 -68.4459
4620.000000 92.561 -67.6906
4680.000000 92.503 -66.9803
4750.000000 92.427 -66.2290
4820.000000 92.333 -65.6086
4870.000000 92.263 -65.1447
4940.000000 92.159 -64.5332
5000.000000 92.051 -63.9757
5080.000000 91.907 -63.1665
5150.000000 91.761 -62.5258
5220.000000 91.603 -61.7114
5300.000000 91.400 -60.8445
5380.000000 91.168 -59.8844
5450.000000 90.971 -58.8355
5520.000000 90.776 -57.7893
5600.000000 90.529 -56.5061
5700.000000 90.222 -54.7352
5800.000000 89.934 -52.7329
5900.000000 89.670 -50.6029
6000.000000 89.418 -48.2042
6080.000000 89.229 -46.2913
6150.000000 89.056 -44.4875
6220.000000 88.883 -42.6153
6300.000000 88.704 -40.4665
6400.000000 88.490 -37.6740
6500.000000 88.322 -34.9780
6600.000000 88.173 -31.9718
6700.000000 88.029 -29.0485
6800.000000 87.918 -26.1565
6900.000000 87.843 -23.2576
7000.000000 87.764 -20.5559
7100.000000 87.723 -17.8206
7200.000000 87.696 -15.4207
7300.000000 87.716 -13.0755
7400.000000 87.777 -11.0926
7500.000000 87.864 -9.2543
7620.000000 88.053 -7.4191
7750.000000 88.392 -5.8632
7880.000000 88.792 -4.9306
8000.000000 89.135 -4.5920
8120.000000 89.405 -4.8452
8250.000000 89.508 -5.4945
8380.000000 89.495 -6.7817
8500.000000 89.382 -8.5382
8620.000000 89.180 -10.6410
8750.000000 88.816 -13.7941
8850.000000 88.393 -16.4285
9000.000000 87.360 -19.9076
9120.000000 86.267 -20.5849
9250.000000 85.069 -19.3457
9380.000000 84.020 -16.2658
9500.000000 83.170 -12.6737
9620.000000 82.472 -8.8373
9750.000000 81.900 -4.6354
9880.000000 81.311 -0.2405
10000.000000 80.856 3.9272
10150.000000 80.380 9.0928
10300.000000 80.033 13.7622
10440.000000 79.689 18.1748
10600.000000 79.452 22.9301
10750.000000 79.276 27.6051
10900.000000 79.154 31.2249
11060.000000 79.126 35.0574
11200.000000 79.146 37.7786
11380.000000 79.125 39.6128
11500.000000 79.053 40.8898
11720.000000 78.695 42.2734
11800.000000 78.412 44.7845
12060.000000 78.064 50.4086
12200.000000 78.254 55.4893
12410.000000 78.906 60.7857
12500.000000 79.371 62.2323
12650.000000 80.252 63.3704
12800.000000 81.286 62.4583
13150.000000 83.600 49.1866
13200.000000 83.826 46.0877
13400.000000 84.238 30.8741
13600.000000 83.688 15.5593
13800.000000 82.536 1.9523
14000.000000 81.127 -8.3818
14300.000000 79.083 -19.1698
14500.000000 77.949 -24.8866
14750.000000 76.818 -30.3949
15000.000000 75.769 -36.5713
15250.000000 74.887 -41.6415
15500.000000 74.496 -49.2811
15750.000000 74.122 -57.1011
16000.000000 74.238 -65.6367
16250.000000 74.151 -77.0165
16500.000000 74.517 -90.5579
16750.000000 74.759 -106.7366
17000.000000 75.175 -125.7909
17250.000000 75.623 -147.9580
17500.000000 75.868 -174.9906
17750.000000 75.821 153.5473
18000.000000 75.330 119.5105
18250.000000 74.550 81.1702
18500.000000 73.502 42.7042
18750.000000 71.986 -0.5010
19000.000000 70.745 -50.4481
19250.000000 68.890 -105.1665
19500.000000 66.494 -168.7515
19750.000000 62.778 115.0232
20000.000000 57.328 26.2512
