* Measurement data measured by REW V5.20.9
* Source: Microphone (IKKO ITM01s), MICROPHONE (Master Volume), R, volume: 0.490
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: 07-Oct-2022 11:20:34
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: DUNU Talos Planar
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
9250.000000 84.712 -167.6356
9380.000000 85.545 -166.8114
9500.000000 86.395 -168.2927
9620.000000 87.133 -171.9582
9750.000000 87.660 -177.5081
9880.000000 87.910 176.9065
10000.000000 88.061 172.5239
10150.000000 88.322 167.2127
10300.000000 88.598 160.9767
10440.000000 88.790 154.2936
10600.000000 88.910 145.5356
10750.000000 88.845 136.0564
10900.000000 88.520 125.5630
11060.000000 87.780 113.7591
11200.000000 86.689 104.2464
11380.000000 84.739 96.1290
11500.000000 83.343 93.6658
11720.000000 81.149 91.7493
11800.000000 80.464 90.9904
12060.000000 78.118 88.1513
12200.000000 76.617 88.0267
12410.000000 74.221 91.1077
12500.000000 73.218 93.3595
12650.000000 71.603 97.9564
12800.000000 70.009 103.7626
13150.000000 66.460 124.5023
13200.000000 66.037 128.2551
13400.000000 64.723 144.0603
13600.000000 63.970 159.6854
13800.000000 63.502 174.6777
14000.000000 63.204 -169.5093
14300.000000 63.780 -143.2155
14500.000000 65.161 -126.9628
14750.000000 67.528 -111.9398
15000.000000 70.034 -103.2380
15250.000000 72.460 -99.8512
15500.000000 74.655 -101.1852
15750.000000 76.425 -106.9877
16000.000000 77.493 -115.8453
16250.000000 77.892 -124.4009
16500.000000 77.929 -130.3891
16750.000000 78.017 -134.2933
17000.000000 78.261 -138.4088
17250.000000 78.464 -144.0638
17500.000000 78.410 -151.0163
17750.000000 77.999 -157.8441
18000.000000 77.324 -163.0196
18250.000000 76.622 -166.2052
18500.000000 76.111 -168.1621
18750.000000 75.915 -170.1880
19000.000000 76.020 -173.6234
19250.000000 76.303 -179.3475
19500.000000 76.611 172.3102
19750.000000 76.818 162.6230
